position,age,mult,lo,hi
DF,32.0,0.8255070219077519,0.7578053886006069,0.8795790556623762
DF,32.5,0.8015484169788667,0.7305352313327934,0.8596205730543712
DF,33.0,0.7760490945846396,0.6996898708721121,0.8406225447267943
DF,33.5,0.7490090547250704,0.6659126335145883,0.8193684175251545
DF,34.0,0.7204282974001595,0.6297347276005243,0.7961205446932893
DF,34.5,0.6903068226099063,0.5914541557140041,0.7750442613344489
DF,35.0,0.6586446303543115,0.5504843681364248,0.7514803040648357
DF,35.5,0.6254417206333747,0.5072258048158264,0.7285607632549743
DF,36.0,0.5906980934470959,0.4619805999460115,0.7021247276547092
DF,36.5,0.5544137487954754,0.41044477989514094,0.6747102633364226
DF,37.0,0.5165886866785128,0.3593188595235272,0.6461222479027647
DF,37.5,0.4772229070962083,0.3106705671570404,0.6162761229651197
DF,38.0,0.4363164100485617,0.260259507363141,0.5853116824739276
