season,league,role,cohort_size,viable_for_percentile
2019,La Liga,Missing,1,False
2019,La Liga,unknown,3,False
2019,Ligue 1,Attack,177,True
2019,Ligue 1,Defender,225,True
2019,Ligue 1,Goalkeeper,62,True
2019,Ligue 1,Midfield,189,True
2019,Ligue 1,unknown,2,False
2019,Premier League,Attack,156,True
2019,Premier League,Defender,196,True
2019,Premier League,Goalkeeper,58,True
2019,Premier League,Midfield,164,True
2019,Premier League,unknown,2,False
2019,Serie A,Attack,166,True
2019,Serie A,Defender,230,True
2019,Serie A,Goalkeeper,91,True
2019,Serie A,Midfield,227,True
2019,Serie A,unknown,4,False
2020,Bundesliga,Attack,164,True
2020,Bundesliga,Defender,188,True
2020,Bundesliga,Goalkeeper,61,True
2020,Bundesliga,Midfield,180,True
2020,Bundesliga,unknown,1,False
2020,La Liga,Attack,194,True
2020,La Liga,Defender,223,True
2020,La Liga,Goalkeeper,74,True
2020,La Liga,Midfield,173,True
2020,La Liga,unknown,6,False
2020,Ligue 1,Attack,169,True
2020,Ligue 1,Defender,203,True
2020,Ligue 1,Goalkeeper,65,True
2020,Ligue 1,Midfield,188,True
2020,Ligue 1,unknown,1,False
2020,Premier League,Attack,160,True
2020,Premier League,Defender,216,True
2020,Premier League,Goalkeeper,68,True
2020,Premier League,Midfield,176,True
2020,Premier League,unknown,3,False
2020,Serie A,Attack,175,True
2020,Serie A,Defender,255,True
2020,Serie A,Goalkeeper,88,True
2020,Serie A,Midfield,223,True
2020,Serie A,unknown,2,False
2021,Bundesliga,Attack,159,True
2021,Bundesliga,Defender,192,True
2021,Bundesliga,Goalkeeper,62,True
2021,Bundesliga,Midfield,164,True
2021,Bundesliga,unknown,2,False
2021,La Liga,Attack,212,True
2021,La Liga,Defender,238,True
2021,La Liga,Goalkeeper,83,True
2021,La Liga,Midfield,182,True
2021,La Liga,Missing,1,False
2021,La Liga,unknown,4,False
2021,Ligue 1,Attack,188,True
2021,Ligue 1,Defender,231,True
2021,Ligue 1,Goalkeeper,74,True
2021,Ligue 1,Midfield,207,True
2021,Ligue 1,unknown,2,False
2021,Premier League,Attack,168,True
2021,Premier League,Defender,225,True
2021,Premier League,Goalkeeper,71,True
2021,Premier League,Midfield,187,True
2021,Premier League,unknown,3,False
2021,Serie A,Attack,190,True
2021,Serie A,Defender,269,True
2021,Serie A,Goalkeeper,95,True
2021,Serie A,Midfield,248,True
2021,Serie A,unknown,1,False
2022,Bundesliga,Attack,162,True
2022,Bundesliga,Defender,194,True
2022,Bundesliga,Goalkeeper,56,True
2022,Bundesliga,Midfield,170,True
2022,Bundesliga,unknown,20,True
2022,La Liga,Attack,219,True
2022,La Liga,Defender,231,True
2022,La Liga,Goalkeeper,76,True
2022,La Liga,Midfield,186,True
2022,La Liga,unknown,56,True
2022,Ligue 1,Attack,196,True
2022,Ligue 1,Defender,225,True
2022,Ligue 1,Goalkeeper,67,True
2022,Ligue 1,Midfield,207,True
2022,Ligue 1,unknown,38,True
2022,Premier League,Attack,179,True
2022,Premier League,Defender,225,True
2022,Premier League,Goalkeeper,72,True
2022,Premier League,Midfield,183,True
2022,Premier League,unknown,34,True
2022,Serie A,Attack,190,True
2022,Serie A,Defender,237,True
2022,Serie A,Goalkeeper,86,True
2022,Serie A,Midfield,231,True
2022,Serie A,unknown,66,True
2023,Bundesliga,Attack,157,True
2023,Bundesliga,Defender,190,True
2023,Bundesliga,Goalkeeper,52,True
2023,Bundesliga,Midfield,157,True
2023,Bundesliga,unknown,43,True
2023,La Liga,Attack,204,True
2023,La Liga,Defender,206,True
2023,La Liga,Goalkeeper,64,True
2023,La Liga,Midfield,180,True
2023,La Liga,unknown,76,True
2023,Ligue 1,Attack,183,True
2023,Ligue 1,Defender,223,True
2023,Ligue 1,Goalkeeper,64,True
2023,Ligue 1,Midfield,179,True
2023,Ligue 1,unknown,68,True
2023,Premier League,Attack,174,True
2023,Premier League,Defender,215,True
2023,Premier League,Goalkeeper,70,True
2023,Premier League,Midfield,197,True
2023,Premier League,unknown,69,True
2023,Serie A,Attack,153,True
2023,Serie A,Defender,230,True
2023,Serie A,Goalkeeper,73,True
2023,Serie A,Midfield,220,True
2023,Serie A,unknown,87,True
2024,Bundesliga,Attack,151,True
2024,Bundesliga,Defender,185,True
2024,Bundesliga,Goalkeeper,49,True
2024,Bundesliga,Midfield,147,True
2024,Bundesliga,unknown,51,True
2024,La Liga,Attack,199,True
2024,La Liga,Defender,216,True
2024,La Liga,Goalkeeper,60,True
2024,La Liga,Midfield,171,True
2024,La Liga,unknown,97,True
2024,Ligue 1,Attack,161,True
2024,Ligue 1,Defender,202,True
2024,Ligue 1,Goalkeeper,49,True
2024,Ligue 1,Midfield,168,True
2024,Ligue 1,unknown,77,True
2024,Premier League,Attack,164,True
2024,Premier League,Defender,209,True
2024,Premier League,Goalkeeper,68,True
2024,Premier League,Midfield,196,True
2024,Premier League,unknown,111,True
2024,Serie A,Attack,169,True
2024,Serie A,Defender,222,True
2024,Serie A,Goalkeeper,65,True
2024,Serie A,Midfield,214,True
2024,Serie A,unknown,117,True
2025,Bundesliga,Attack,139,True
2025,Bundesliga,Defender,184,True
2025,Bundesliga,Goalkeeper,49,True
2025,Bundesliga,Midfield,143,True
2025,Bundesliga,unknown,64,True
2025,La Liga,Attack,203,True
2025,La Liga,Defender,214,True
2025,La Liga,Goalkeeper,55,True
2025,La Liga,Midfield,166,True
2025,La Liga,unknown,120,True
2025,Ligue 1,Attack,175,True
2025,Ligue 1,Defender,200,True
