position_or_role,to_league,age_band,row_count,fee_rate,mv_rate,fbref_perf_rate,wage_prior_rate
GK,La Liga,25-28,253,0.2450592885375494,0.5849802371541502,0.5612648221343873,0.2134387351778656
GK,Serie A,25-28,246,0.3699186991869919,0.5975609756097561,0.6300813008130082,0.4634146341463415
GK,Bundesliga,<21,243,0.13168724279835392,0.6831275720164609,0.6378600823045267,0.6131687242798354
GK,Premier League,29-32,239,0.23430962343096234,0.5732217573221757,0.5397489539748954,0.4351464435146444
GK,Bundesliga,21-24,228,0.27631578947368424,0.6622807017543859,0.6447368421052632,0.6052631578947368
Goalkeeper,Unknown,25-28,219,0.1643835616438356,0.9863013698630136,0.2328767123287671,0.4931506849315068
DEF,Bundesliga,29-32,215,0.3209302325581395,0.4744186046511628,0.4511627906976744,0.2930232558139535
GK,Premier League,33+,212,0.1509433962264151,0.42452830188679247,0.38207547169811323,0.21226415094339623
GK,Ligue 1,25-28,204,0.2647058823529412,0.6127450980392157,0.5882352941176471,0.4362745098039216
Midfield,Unknown,33+,203,0.024630541871921183,1.0,0.5369458128078818,0.6108374384236454
GK,Serie A,29-32,178,0.2247191011235955,0.5898876404494382,0.5786516853932584,0.43258426966292135
Attack,Unknown,33+,177,0.05649717514124294,1.0,0.6610169491525424,0.655367231638418
Defender,Premier League,21-24,172,0.37209302325581395,1.0,0.8372093023255814,0.46511627906976744
Midfield,Serie A,21-24,169,0.4378698224852071,1.0,0.8284023668639053,0.3905325443786982
Attack,Premier League,21-24,165,0.45454545454545453,1.0,0.8,0.3393939393939394
Goalkeeper,Unknown,29-32,164,0.12804878048780488,1.0,0.25,0.6097560975609756
Midfield,Premier League,21-24,161,0.36024844720496896,1.0,0.8012422360248447,0.38509316770186336
Attack,Serie A,21-24,158,0.44936708860759494,0.9936708860759493,0.9050632911392406,0.37341772151898733
GK,La Liga,29-32,150,0.26,0.56,0.56,0.20666666666666667
Defender,Serie A,21-24,147,0.4013605442176871,1.0,0.891156462585034,0.23809523809523808
Goalkeeper,Unknown,33+,143,0.013986013986013986,1.0,0.5034965034965035,0.6993006993006993
DEF,Premier League,33+,140,0.1,0.3142857142857143,0.29285714285714287,0.12142857142857143
Midfield,Serie A,25-28,139,0.381294964028777,1.0,0.9712230215827338,0.7913669064748201
GK,Bundesliga,25-28,137,0.35766423357664234,0.6423357664233577,0.583941605839416,0.5401459854014599
GK,Serie A,33+,136,0.15441176470588236,0.6102941176470589,0.6102941176470589,0.4117647058823529
