era,to_league,pos_group,age_band,transfer_type,row_count,positive_fee_rows,positive_fee_rate,mv_coverage
2000-2009,Unknown,MID,25-28,end_of_loan,132,0.0,0.0,0.16666666666666666
2020+,Unknown,Defender,21-24,Unknown,132,1.0,0.007575757575757576,0.9166666666666666
2020+,Unknown,Defender,33+,free,132,0.0,0.0,1.0
2000-2009,Ligue 1,MID,21-24,end_of_loan,131,0.0,0.0,0.183206106870229
<2000,Ligue 1,MID,25-28,permanent,131,6.0,0.04580152671755725,0.0
<2000,Unknown,MID,<21,loan,131,0.0,0.0,0.0
2010-2019,Unknown,DEF,29-32,end_of_loan,130,0.0,0.0,0.9153846153846154
2010-2019,Ligue 1,FWD,25-28,permanent,128,114.0,0.890625,0.9453125
2010-2019,Serie A,FWD,25-28,loan,128,51.0,0.3984375,0.953125
2000-2009,Premier League,FWD,25-28,permanent,127,120.0,0.9448818897637795,0.3464566929133858
2010-2019,Unknown,FWD,<21,end_of_loan,127,3.0,0.023622047244094488,0.9212598425196851
2020+,Unknown,Attack,29-32,loan,127,8.0,0.06299212598425197,1.0
<2000,Serie A,DEF,25-28,permanent,127,32.0,0.25196850393700787,0.0
<2000,Unknown,MID,33+,permanent,126,11.0,0.0873015873015873,0.0
2000-2009,Premier League,MID,21-24,permanent,125,114.0,0.912,0.424
2000-2009,Unknown,GK,33+,permanent,125,14.0,0.112,0.024
2010-2019,Unknown,DEF,33+,retirement,125,0.0,0.0,0.68
2000-2009,Ligue 1,FWD,21-24,permanent,124,100.0,0.8064516129032258,0.3225806451612903
2010-2019,Serie A,DEF,29-32,permanent,124,104.0,0.8387096774193549,0.9112903225806451
2020+,Unknown,MID,21-24,free,124,0.0,0.0,0.7741935483870968
2000-2009,Bundesliga,FWD,21-24,permanent,123,98.0,0.7967479674796748,0.45528455284552843
2010-2019,Unknown,GK,29-32,free,123,0.0,0.0,0.8617886178861789
<2000,Serie A,FWD,21-24,permanent,123,32.0,0.2601626016260163,0.0
2000-2009,Unknown,DEF,25-28,end_of_loan,122,0.0,0.0,0.1721311475409836
2000-2009,Unknown,FWD,29-32,loan,122,3.0,0.02459016393442623,0.05737704918032787
<2000,Serie A,FWD,<21,permanent,122,14.0,0.11475409836065574,0.0
2010-2019,La Liga,MID,21-24,loan,121,20.0,0.1652892561983471,0.9834710743801653
2010-2019,Unknown,GK,21-24,permanent,121,43.0,0.35537190082644626,0.7603305785123967
2000-2009,Bundesliga,MID,21-24,permanent,118,87.0,0.7372881355932204,0.2711864406779661
2000-2009,Ligue 1,FWD,21-24,end_of_loan,118,0.0,0.0,0.2457627118644068
2020+,Unknown,DEF,21-24,end_of_loan,118,1.0,0.00847457627118644,0.9576271186440678
2020+,Unknown,FWD,21-24,end_of_loan,117,1.0,0.008547008547008548,0.9230769230769231
2020+,Unknown,Goalkeeper,21-24,free,117,0.0,0.0,0.8632478632478633
2000-2009,Ligue 1,DEF,21-24,permanent,116,70.0,0.603448275862069,0.3793103448275862
2000-2009,Ligue 1,MID,21-24,permanent,116,93.0,0.8017241379310345,0.3793103448275862
2010-2019,La Liga,MID,25-28,permanent,116,107.0,0.9224137931034483,0.9396551724137931
2020+,Premier League,FWD,21-24,end_of_loan,116,0.0,0.0,0.8793103448275862
2020+,Unknown,Defender,29-32,Unknown,116,0.0,0.0,1.0
2020+,Unknown,DEF,21-24,free,115,0.0,0.0,0.8956521739130435
2020+,Unknown,DEF,25-28,free,115,0.0,0.0,0.9304347826086956
2020+,Unknown,Midfield,21-24,Unknown,115,2.0,0.017391304347826087,0.8782608695652174
2000-2009,Premier League,FWD,21-24,permanent,114,111.0,0.9736842105263158,0.34210526315789475
2000-2009,Unknown,FWD,33+,free,114,0.0,0.0,0.008771929824561403
2010-2019,Unknown,GK,33+,free,114,0.0,0.0,0.8070175438596491
2020+,Serie A,Midfield,21-24,loan,114,24.0,0.21052631578947367,1.0
2020+,Unknown,Attack,21-24,Unknown,114,1.0,0.008771929824561403,0.9473684210526315
2000-2009,Bundesliga,DEF,21-24,permanent,113,87.0,0.7699115044247787,0.3008849557522124
2000-2009,Premier League,MID,25-28,permanent,113,109.0,0.9646017699115044,0.22123893805309736
2000-2009,Unknown,FWD,<21,free,113,0.0,0.0,0.07079646017699115
2020+,Unknown,DEF,25-28,permanent,113,58.0,0.5132743362831859,0.911504424778761
<2000,Bundesliga,MID,21-24,permanent,113,73.0,0.6460176991150443,0.0
2010-2019,La Liga,DEF,25-28,end_of_loan,112,0.0,0.0,0.8303571428571429
2010-2019,La Liga,MID,<21,permanent,112,34.0,0.30357142857142855,0.875
2010-2019,Unknown,MID,29-32,end_of_loan,112,0.0,0.0,0.9464285714285714
<2000,La Liga,DEF,25-28,permanent,112,40.0,0.35714285714285715,0.0
2000-2009,La Liga,FWD,25-28,permanent,111,91.0,0.8198198198198198,0.22522522522522523
2000-2009,Unknown,GK,33+,free,111,0.0,0.0,0.009009009009009009
2010-2019,Bundesliga,DEF,21-24,end_of_loan,111,0.0,0.0,0.9459459459459459
2010-2019,La Liga,DEF,25-28,loan,111,17.0,0.15315315315315314,0.9009009009009009
2020+,Unknown,Defender,25-28,Unknown,111,0.0,0.0,1.0
2010-2019,Ligue 1,DEF,25-28,permanent,110,90.0,0.8181818181818182,0.9727272727272728
<2000,Unknown,MID,21-24,free,110,0.0,0.0,0.0
2000-2009,Unknown,GK,21-24,free,109,0.0,0.0,0.1651376146788991
2010-2019,Ligue 1,MID,25-28,permanent,109,96.0,0.8807339449541285,0.9724770642201835
<2000,Bundesliga,MID,25-28,permanent,109,90.0,0.8256880733944955,0.0
<2000,Premier League,DEF,25-28,permanent,109,81.0,0.7431192660550459,0.0
2000-2009,Premier League,GK,21-24,end_of_loan,108,0.0,0.0,0.48148148148148145
2010-2019,Ligue 1,FWD,25-28,end_of_loan,108,0.0,0.0,0.8611111111111112
2010-2019,Premier League,DEF,29-32,end_of_loan,108,0.0,0.0,0.8055555555555556
2020+,Unknown,Midfield,29-32,Unknown,108,0.0,0.0,1.0
<2000,Unknown,DEF,<21,loan,108,0.0,0.0,0.0
2000-2009,Premier League,GK,<21,end_of_loan,107,0.0,0.0,0.2803738317757009
2000-2009,Unknown,FWD,33+,permanent,107,12.0,0.11214953271028037,0.009345794392523364
