season,taxonomy,fee_source,row_count,fee_nonnull_rows,positive_fee_rows
2025,loan_without_fee_or_unknown,no_fee_source,1451,0,0.0
2025,loan_without_fee_or_unknown,spine,992,992,0.0
2025,other_review_required,spine,8,8,0.0
2025,paid_permanent_transfer,spine,942,942,942.0
2026,disclosed_free_transfer,spine,235,235,0.0
2026,genuinely_unknown,no_fee_source,136,0,0.0
2026,genuinely_unknown,spine,1,1,0.0
2026,loan_with_fee,raw_api,3,3,3.0
2026,loan_with_fee,spine,43,43,43.0
2026,loan_without_fee_or_unknown,no_fee_source,974,0,0.0
2026,loan_without_fee_or_unknown,spine,451,451,0.0
2026,other_review_required,spine,3,3,0.0
2026,paid_permanent_transfer,spine,193,193,193.0
