prediction_key,player_id,player_name,role,to_league,outcome_season,next_minutes,s0_pred,s1_pred,s1_lo,s1_hi,shrunk_prior_sporting_rate,feature_tier,club_match_confidence
spmvp1|148368|2015-06-30|1082|31|end-of-loan|k-148368-2015-summer-losc-lille-liverpool-fc|000,148368,Divock Origi,FWD,Premier League,2016,670.0,1312.8644633110976,1312.8644633110976,582.6854351781052,2043.0434914440898,0.0,medium,exact
spmvp1|148455|2015-08-06|631|12|loan|k-148455-2015-summer-chelsea-as-roma|000,148455,Mohamed Salah,FWD,Serie A,2016,2723.0,1473.3092282784673,1473.3092282784673,587.8702561157265,2358.748200441208,0.0,low,exact
spmvp1|153238|2015-07-15|3057|472|permanent|k-153238-2015-summer-standard-li-ge-ud-las-palmas|000,153238,Jonathan Viera,MID,La Liga,2016,3112.0,1680.0231914893616,1680.0231914893616,1024.8061751053433,2335.24020787338,0.0,high,exact
spmvp1|153427|2015-07-10|294|367|loan|k-153427-2015-summer-sl-benfica-rayo-vallecano|000,153427,Bebé,FWD,La Liga,2016,2237.0,1473.3092282784673,1473.3092282784673,419.46307443231353,2527.155382124621,0.0,low,exact
spmvp1|160506|2016-01-31|6195|1533|loan|k-160506-2015-winter-ssc-napoli-sd-eibar|000,160506,Josip Radosevic,MID,La Liga,2016,404.0,1367.8882430357535,1367.8882430357535,340.5444930357535,2395.2319930357535,0.0,low,high
spmvp1|16136|2015-08-30|27|82|permanent|k-16136-2015-summer-bayern-munich-vfl-wolfsburg|000,16136,Dante,DEF,Bundesliga,2016,2065.0,1357.9770833333332,1357.9770833333332,817.3236164960223,1898.6305501706443,0.0,high,exact
spmvp1|162029|2015-07-24|13|244|loan|k-162029-2015-summer-atl-tico-de-madrid-olympique-marseille|000,162029,Javier Manquillo,DEF,Ligue 1,2016,2669.0,1447.4788015463917,1447.4788015463917,552.7419594411285,2342.215643651655,0.0,low,high
spmvp1|162434|2015-08-24|4|44|permanent|k-162434-2015-summer-1-fc-nuremberg-hertha-bsc|000,162434,Niklas Stark,DEF,Bundesliga,2016,1413.0,1447.4788015463917,1447.4788015463917,723.0398988032495,2171.917704289534,0.0,medium,exact
spmvp1|16306|2015-07-02|720|418|end-of-loan|k-16306-2015-summer-fc-porto-real-madrid|000,16306,Casemiro,MID,La Liga,2016,1529.0,1528.3330080031233,1528.3330080031233,606.4580080031233,2450.2080080031233,0.0,low,exact
spmvp1|163222|2015-08-05|1429|6574|permanent|k-163222-2015-summer-cesena-us-sassuolo|000,163222,Grégoire Defrel,FWD,Serie A,2016,2050.0,1473.3092282784673,1473.3092282784673,379.90263487187394,2566.7158216850607,0.0,low,exact
spmvp1|164771|2015-07-31|995|405|permanent|k-164771-2015-summer-fc-nantes-aston-villa|000,164771,Jordan Veretout,MID,Premier League,2016,1820.0,1528.3330080031233,1528.3330080031233,838.9257824682232,2217.7402335380234,0.0,high,exact
spmvp1|166237|2015-08-31|12|749|loan|k-166237-2015-summer-as-roma-empoli-fc|000,166237,Leandro Paredes,MID,Serie A,2016,2481.0,1367.8882430357535,1367.8882430357535,278.36859238073157,2457.4078936907754,0.0,low,exact
spmvp1|167799|2015-08-28|27|33|loan|k-167799-2015-summer-bayern-munich-fc-schalke-04|000,167799,Pierre-Emile Höjbjerg,MID,Bundesliga,2016,1279.0,1367.8882430357535,1367.8882430357535,420.1270490059028,2315.649437065604,0.0,low,exact
spmvp1|170934|2015-08-31|244|506|loan|k-170934-2015-summer-olympique-marseille-juventus-fc|000,170934,Mario Lemina,MID,Serie A,2016,729.0,1367.8882430357535,1367.8882430357535,643.4493402926113,2092.3271457788956,0.0,medium,exact
spmvp1|175449|2015-07-09|1050|3709|loan|k-175449-2015-summer-villarreal-cf-getafe-cf|000,175449,Moi Gómez,FWD,La Liga,2016,918.0,1312.8644633110976,1312.8644633110976,568.1884325000418,2057.540494122153,0.0,medium,exact
spmvp1|177476|2015-08-14|631|1010|loan|k-177476-2015-summer-chelsea-watford-fc|000,177476,Nathan Aké,DEF,Premier League,2016,1875.0,1447.4788015463917,1447.4788015463917,409.6301959687023,2485.327407124081,0.0,low,exact
spmvp1|177843|2015-07-01|506|6574|permanent|k-177843-2015-summer-juventus-us-sassuolo|000,177843,Domenico Berardi,FWD,Serie A,2016,2167.0,1312.8644633110976,1312.8644633110976,636.9686978387848,1988.7602287834102,0.0,high,exact
spmvp1|177847|2015-08-31|985|16|loan|k-177847-2015-summer-manchester-united-borussia-dortmund|000,177847,Adnan Januzaj,FWD,Bundesliga,2016,166.0,1312.8644633110976,1312.8644633110976,600.6003123677013,2025.1286142544936,0.0,medium,high
spmvp1|177847|2016-01-07|16|985|end-of-loan|k-177847-2015-winter-borussia-dortmund-manchester-united|000,177847,Adnan Januzaj,FWD,Premier League,2016,145.0,1312.8644633110976,1312.8644633110976,600.6003123677013,2025.1286142544936,0.0,medium,exact
spmvp1|179643|2015-07-18|60|44|permanent|k-179643-2015-summer-sc-freiburg-hertha-bsc|000,179643,Vladimir Darida,MID,Bundesliga,2016,2589.0,1528.3330080031233,1528.3330080031233,834.1582507215699,2222.5077652846767,0.0,high,exact
spmvp1|181382|2015-06-30|9902|995|end-of-loan|k-181382-2015-summer-le-poir-sur-vie-vf-fc-nantes|000,181382,Abdoulaye Touré,MID,Ligue 1,2016,205.0,1367.8882430357535,1367.8882430357535,283.4726586201691,2452.303827451338,0.0,low,exact
spmvp1|181477|2015-08-19|714|16795|loan|k-181477-2015-summer-rcd-espanyol-barcelona-granada-cf|000,181477,Thievy Bifouma,FWD,La Liga,2016,187.0,1473.3092282784673,1473.3092282784673,774.4874315185263,2172.1310250384086,0.0,high,exact
spmvp1|181477|2016-01-28|714|1421|loan|k-181477-2015-winter-rcd-espanyol-barcelona-stade-reims|000,181477,Thievy Bifouma,FWD,Ligue 1,2016,937.0,1473.3092282784673,1473.3092282784673,774.4874315185263,2172.1310250384086,0.0,high,high
spmvp1|182877|2015-09-01|162|985|permanent|k-182877-2015-summer-monaco-manchester-united|000,182877,Anthony Martial,FWD,Premier League,2016,2632.0,1312.8644633110976,1312.8644633110976,455.9576556442105,2169.7712709779844,0.0,low,exact
spmvp1|184892|2015-08-19|244|762|permanent|k-184892-2015-summer-olympique-marseille-newcastle-united|000,184892,Florian Thauvin,FWD,Premier League,2016,427.0,1473.3092282784673,1473.3092282784673,870.0192512317956,2076.5992053251393,0.0,high,exact
spmvp1|184892|2016-01-31|762|244|loan|k-184892-2015-winter-newcastle-united-olympique-marseille|000,184892,Florian Thauvin,FWD,Ligue 1,2016,944.0,1473.3092282784673,1473.3092282784673,870.0192512317956,2076.5992053251393,0.0,high,high
spmvp1|184894|2015-07-23|1038|6574|loan|k-184894-2015-summer-uc-sampdoria-us-sassuolo|000,184894,Alfred Duncan,MID,Serie A,2016,2488.0,1528.3330080031233,1528.3330080031233,831.3246169049839,2225.3413991012626,0.0,high,exact
spmvp1|185245|2015-08-31|16795|39|loan|k-185245-2015-summer-granada-cf-1-fsv-mainz-05|000,185245,Jhon Córdoba,FWD,Bundesliga,2016,1391.0,1473.3092282784673,1473.3092282784673,734.3711751811222,2212.2472813758122,0.0,medium,high
spmvp1|18644|2015-07-01|281|1049|permanent|k-18644-2015-summer-manchester-city-valencia-cf|000,18644,Álvaro Negredo,FWD,La Liga,2016,1157.0,1223.3627450980393,1223.3627450980393,680.5158038935642,1766.2096863025145,0.0,high,exact
spmvp1|187587|2016-01-14|430|276|loan|k-187587-2015-winter-acf-fiorentina-hellas-verona|000,187587,Ante Rebic,FWD,Serie A,2016,571.0,1473.3092282784673,1473.3092282784673,430.0496709344029,2516.568785622532,0.0,low,exact
spmvp1|189441|2015-07-01|162|244|permanent|k-189441-2015-summer-monaco-olympique-marseille|000,189441,Lucas Ocampos,FWD,Ligue 1,2016,770.0,1312.8644633110976,1312.8644633110976,574.4538672846074,2051.2750593375877,0.0,medium,high
spmvp1|19041|2015-08-19|6195|1003|permanent|k-19041-2015-summer-ssc-napoli-leicester-city|000,19041,Gökhan Inler,MID,Premier League,2016,194.0,1278.386524822695,1278.386524822695,739.8233597866313,1816.9496898587588,0.0,high,exact
spmvp1|192565|2015-07-01|1463|33|permanent|k-192565-2015-summer-fc-schalke-04-u19-fc-schalke-04|000,192565,Leroy Sané,FWD,Bundesliga,2016,2315.0,1312.8644633110976,1312.8644633110976,222.05483530234483,2403.67409131985,0.0,low,exact
spmvp1|196357|2015-07-16|41|15|permanent|k-196357-2015-summer-hamburger-sv-bayer-04-leverkusen|000,196357,Jonathan Tah,DEF,Bundesliga,2016,2565.0,1447.4788015463917,1447.4788015463917,699.3170368405093,2195.640566252274,0.0,medium,high
spmvp1|197747|2015-08-11|12|5|permanent|k-197747-2015-summer-as-roma-ac-milan|000,197747,Alessio Romagnoli,DEF,Serie A,2016,2944.0,1447.4788015463917,1447.4788015463917,630.5773930956875,2264.380209997096,0.0,low,exact
spmvp1|199248|2016-01-08|294|458|loan|k-199248-2015-winter-sl-benfica-us-palermo|000,199248,Bryan Cristante,MID,Serie A,2016,94.0,1367.8882430357535,1367.8882430357535,353.60252875003914,2382.1739573214677,0.0,low,exact
spmvp1|200777|2015-05-31|984|148|end-of-loan|k-200777-2015-summer-west-bromwich-albion-tottenham-hotspur|000,200777,Alex Pritchard,MID,Premier League,2016,6.0,1528.3330080031233,1528.3330080031233,433.6193516154581,2623.0466643907885,0.0,low,high
spmvp1|202228|2016-02-01|148|86|permanent|k-202228-2015-winter-tottenham-hotspur-sv-werder-bremen|000,202228,Milos Veljkovic,DEF,Bundesliga,2016,94.0,1447.4788015463917,1447.4788015463917,368.0796599154903,2526.8779431772928,0.0,low,exact
spmvp1|204103|2015-08-14|2464|405|permanent|k-204103-2015-summer-fc-barcelona-b-aston-villa|000,204103,Adama Traoré,FWD,Premier League,2016,193.0,1312.8644633110976,1312.8644633110976,219.45786990450415,2406.271056717691,0.0,low,exact
spmvp1|205054|2015-08-20|1627|12|loan|k-205054-2015-summer-calcio-catania-as-roma|000,205054,Norbert Gyomber,DEF,Serie A,2016,99.0,1607.9235665137614,1607.9235665137614,877.1543357445307,2338.692797282992,0.0,medium,exact
