player,from_league,age,position,efficiency,usage,mv_eur_m,fee_gbp_m,wage_gbp_m,npv_m,npv_lo_m,npv_hi_m,prog_pctl,talent_pctl
Dwight McNeil,ENG-Premier League,22.1,FW,0.0753,0.144,20.0,17.0,1.3,-19.7,-13.2,-25.8,31.0,36.0
Demarai Gray,ENG-Premier League,25.5,FW,0.0827,0.14,12.0,10.2,1.6,-19.9,-14.3,-25.1,48.0,
Patrick Wimmer,GER-Bundesliga,20.6,FW,0.0787,0.158,15.0,12.8,1.6,-20.0,-13.8,-25.7,53.0,10.0
Isi Palazón,ESP-La Liga,27.0,FW,0.067,0.106,3.0,2.5,1.8,-20.3,-14.5,-25.7,34.0,81.0
Christian Günter,GER-Bundesliga,28.8,DF,0.0911,0.12,2.0,1.7,2.4,-20.3,-16.6,-23.8,23.0,84.0
Cengiz Ünder,FRA-Ligue 1,24.5,FW,0.1065,0.104,14.0,11.9,3.4,-20.5,-20.7,-20.4,45.0,32.0
Tammy Abraham,ITA-Serie A,24.2,FW,0.1808,0.125,14.0,11.9,7.3,-20.7,-33.2,-9.3,12.0,43.0
Andrea Pinamonti,ITA-Serie A,22.6,FW,0.1106,0.138,15.0,12.8,3.8,-20.9,-21.7,-20.3,10.0,22.0
Razvan Marin,ITA-Serie A,25.6,MF,0.0705,0.148,3.0,2.5,1.1,-21.3,-12.8,-29.3,30.0,86.0
Angelo Fulgini,FRA-Ligue 1,25.4,MF,0.0828,0.159,5.0,4.2,1.6,-21.3,-14.5,-27.7,35.0,45.0
Arsen Zakharyan,RUS-Premier League,18.6,MF,0.0687,0.169,18.0,15.3,1.1,-21.9,-13.0,-30.3,69.0,43.0
